,FC_var_1650,FC_mean_41715,FC_var_39614,FC_mean_39513,FC_var_29892,FC_mean_8450,FC_var_36058,FC_mean_16186,FC_var_39606,FC_mean_1467,FC_var_17269,FC_mean_1635,FC_mean_25403,FC_var_27225,FC_var_17588,FC_var_30742
0,-0.07100011,-0.91537905,-0.044113934,0.20020422,-0.15612045,-0.5329064,-0.06098128,-0.11401001,0.00602071,-0.11318066,-0.100617446,-0.082013085,-0.026464798,0.10202855,-0.00039704685,-0.031564523
1,0.00089873566,0.34282738,0.041415334,-0.3452472,-0.04093474,-0.1922728,0.04736996,-0.07421891,-0.0029798714,-0.13426113,-0.059097312,-0.08124797,-0.26017198,0.071366735,-0.003704818,-0.2503143
2,-0.029888274,0.7599268,0.054029666,0.56845343,0.10952955,-0.08028047,-0.034089852,-0.023966413,0.01637131,0.106217355,0.022737244,-0.23932062,-0.017108416,0.19552647,-0.015106469,-0.33370224
3,0.015050937,0.3891308,0.04089672,0.0534237,-0.06846184,-0.37347478,0.08149506,-0.2153411,0.0019937614,0.18861042,0.041740645,0.06398142,-0.051196035,-0.2213655,-0.016664363,0.12973574
4,-0.09763142,-0.724518,-0.3959483,0.14456503,-0.13513537,-0.51829755,0.042115647,-0.1072852,-0.058430765,-0.12061753,-0.03985047,-0.039650254,-0.0651274,0.08446325,-0.0047122254,0.09528269
5,-0.11068041,-0.82828325,-0.11599463,0.15749729,-0.30518797,-0.35370198,0.048346914,-0.042861786,0.0298525,-0.17358373,-0.010353756,-0.0500098,-0.05596446,-0.01892432,-0.004380561,-0.10606577
6,-0.06353206,-0.50009936,-0.06244504,0.11195309,-0.018064754,-0.5222907,-0.38324997,-0.090696305,0.012683739,-0.15547714,0.06793791,-0.19978395,0.00021711434,-0.15919593,-0.0014088409,0.023018762
7,0.010199788,-0.22499543,0.010705838,0.22765642,0.20186153,-0.020869339,0.09921413,0.95892215,-0.019565629,0.19905514,0.12138446,0.054109503,0.4274592,0.15145971,-0.001331206,-0.136138
8,-0.06409888,-0.04029657,0.29710686,-0.1683755,-0.12346898,-0.40820155,0.10161245,0.6053191,0.024925046,-0.047476627,-0.018442782,-0.043165173,0.08550761,0.05144087,0.0025759686,-0.19521126
9,0.057904538,-0.102680765,0.21051782,-0.052827206,-0.035482388,3.1283221,0.23198701,-0.024748992,0.034056988,0.107586,0.15617672,0.22469722,-0.00033120345,0.4842478,0.073431365,0.5667835
10,0.0384447,0.8635406,0.14432292,-0.28031427,-0.09431259,0.1676888,0.16428828,0.011841563,0.0140669625,0.12503073,0.05782582,-0.035607062,-0.20646109,0.08661107,-0.008999064,1.010758
11,0.023983961,1.0404117,0.18504786,-0.1068643,-0.052055832,-0.15970162,0.00418917,0.042486414,0.015674774,0.15312771,-0.07886825,0.038566418,0.13094497,-0.1491715,-0.0055838577,0.97716635
12,-0.26268622,0.7027962,-0.05823662,0.4611145,0.40217727,-0.15981862,-0.18006633,-0.02489293,0.009594632,0.20740946,0.13222483,-0.103297696,0.049984418,0.15331677,-0.010371519,-0.2591004
13,0.099307224,-0.066763975,-0.64835674,0.08711042,0.72864527,0.39725384,0.02631706,0.07670348,0.029548915,0.012991815,-0.09746251,-0.075907595,-0.043054637,-0.43602037,0.015139514,-0.045776468
14,-0.072338805,-0.16353838,0.14641352,-0.22317733,0.17535564,-0.28754982,0.0069624865,0.37226087,0.05333287,-0.048201323,0.017896976,0.24539635,0.052100543,-0.09347165,-0.0079638325,-0.11412876
