,164_Visual_var,211_VentralAttention_var,288_FrontoParietal_mean,65_CinguloOpercular_mean,211_VentralAttention_mean,75_Auditory_var,159_Visual_mean,20_SomatomotorDorsal_var,279_DefaultMode_mean,268_CinguloOpercular_var
56,-0.23365094,-0.4131786,-0.28081927,-0.04990356,-0.12976864,-0.58155644,-0.20245609,-0.018668441,-0.06294423,0.032596495
57,-0.13677967,-0.75923634,0.023972273,-0.04727604,-0.24775156,0.095859595,-0.45765522,-0.16567771,-0.1887065,-0.05719776
58,-0.1122733,-0.47993886,-0.1919406,-0.2006243,-0.17063582,-0.45495325,-0.11524019,-0.057215847,-0.10998718,-0.046734102
59,-0.21723308,-0.89208084,0.11139618,-0.1764385,-0.23978905,0.06796274,0.0014256503,-0.2651514,-0.31959087,-0.010245194
60,-0.29194474,-0.8932156,0.1314261,-0.16487695,-0.18480961,-0.3341232,0.07314191,-0.13751306,-0.005624468,-0.1321254
61,-0.026188388,-0.34457347,0.34504992,0.38173252,0.62984776,0.4623499,-0.31431058,-0.09595898,0.035334032,-0.014047188
62,-0.21232569,2.4250338,0.9036209,0.020062454,-0.08424829,0.53280777,0.3581192,-0.053104956,0.15499492,0.0145937195
63,0.1194862,2.3499274,0.8627845,0.24782336,-0.0050082807,0.28517017,0.3003603,-0.050135378,1.0843061,-0.1355125
64,-0.23485406,-0.6526304,0.15127514,-0.06911455,-0.15390277,-0.47019678,-0.20377257,-0.040460385,-0.17913628,-0.087791175
65,0.9035179,1.508051,-0.004195467,0.15295783,0.6209398,0.2385893,0.33351123,0.20507498,0.87177867,0.22777726
66,-0.074117854,-0.60371596,0.16633278,-0.08501481,-0.14178811,0.2563473,0.38598868,0.11558614,0.02619301,0.012127703
67,0.8921475,1.2792307,0.008988053,0.13619062,0.4467447,0.41328722,0.3414056,0.15007843,0.08393935,0.30736306
68,-0.11473187,1.0580748,-1.0677302,-0.034468748,0.055782784,0.10702435,-0.0021805905,-0.05532651,-0.4392554,-0.4479233
69,0.01636831,1.0184585,-0.20223173,0.010175661,0.49758464,0.37160304,0.08316058,-0.13052303,-0.357089,-0.2479315
70,-0.2372906,-0.5573969,-0.03153024,-0.05898835,-0.19307145,-0.5518963,-0.17678283,-0.07396394,0.0020694975,-0.062031742
71,-0.044942215,1.8177567,-0.067075446,0.014854029,-0.11795086,0.7932444,0.1602444,1.2640363,-0.07005449,0.30909476
72,1.0229936,0.6443226,-0.22889969,0.22066076,-0.039755538,-1.4243156,-0.030547319,-0.14808509,-0.049539343,0.09279796
73,-0.31092653,-0.95454484,-0.06371721,-0.18643562,-0.29749748,0.10911206,0.2172408,-0.21383865,-0.13995019,-0.09867633
74,-0.17427187,0.7803329,-0.2581492,0.050310917,0.44283348,-1.2925241,-0.014543682,-0.08881641,0.06672935,-0.45222673
75,0.43887538,2.4531763,0.5892372,-0.004005225,-0.07314275,0.6581377,0.16246893,1.700187,0.083509296,0.049429797
76,0.036973543,1.1020567,-0.20400861,-0.13556261,0.3213787,0.37192962,-0.086663894,-0.036167663,0.034151454,-0.34442163
77,1.6733248,-0.24648485,0.37593943,0.33914137,0.62748843,-0.44983894,-0.108925775,-0.10510556,-0.056344345,0.010443535
78,-0.12659915,-0.45135823,-0.2326859,-0.15777537,-0.13231611,-0.6830927,0.059232555,-0.0886654,-0.12196935,-0.005944087
79,-0.15382625,-0.9786239,0.1087283,-0.05024077,-0.23407719,0.18169437,-0.23887807,-0.264645,-0.2692239,-0.04072759
80,-0.09148689,-1.010389,0.03580411,0.09041073,-0.16892274,0.3509143,0.085954905,-0.04977292,-0.19987021,0.016843362
81,-0.3140967,-0.50892794,-0.026198087,-0.16390659,-0.15127656,-0.5676224,0.02426475,-0.16930121,-0.10074554,0.03728496
82,-0.19053076,-0.5050697,-0.039965894,-0.17590268,-0.14336234,-0.5298132,0.07082093,-0.1282105,-0.1996973,-0.09894865
83,-0.15040372,-0.5040781,0.18995261,0.011034382,-0.2024611,0.4293641,0.26069257,-0.122656636,0.19167897,-0.044280004
