,FC_mean_32788,FC_mean_11387,FC_var_38134,FC_mean_34420,FC_var_42403,FC_var_13935,FC_var_28464,FC_var_9542,FC_var_5661,FC_mean_10410
60,1.1374866,0.22188792,0.94588846,-0.15708078,0.9210168,0.36697403,-0.32891533,0.38347763,-2.3415156e-05,0.35446447
61,1.1528765,0.47055128,0.16340783,-0.42024705,0.2985992,0.2885782,0.124343276,0.22673422,-0.03695393,0.5766247
62,-0.9891974,0.08506118,0.32752457,0.6195372,-0.18638967,0.12586834,0.022858627,0.41956717,0.23435986,-0.81364006
63,-0.7582495,0.014357861,0.107384644,0.07046797,-0.05133114,-0.11265459,-0.21666542,-2.0538626,0.16530426,-0.32089236
64,1.1132122,0.025080761,0.00732184,0.6085236,-0.14726762,0.1620628,-0.39735812,0.49048874,0.07671147,-0.09343223
65,0.019495267,0.168291,0.5661671,-0.45049936,1.0281593,-0.31215528,-0.10234054,0.07537749,0.20618786,0.6463266
66,0.87373984,-0.057816517,-1.0329388,-0.61203647,0.077723935,0.46177202,-0.039413963,-0.068862885,0.14866042,0.09430289
67,-0.33519852,-0.20885944,0.044014126,-0.749084,-0.19019541,-0.3032889,-1.1133968,-0.89763016,-0.029713813,-3.3712096
68,0.25181967,-0.03637239,0.28030503,-0.25633883,0.14537564,0.39482945,0.06208395,-1.2432387,-0.09987872,0.34668705
69,0.76869553,0.021051308,0.012425896,-0.38792402,0.24231721,0.6448615,0.4228453,0.7299338,0.047998376,0.342844
70,-1.4820888,-0.5291501,-2.1628127,-0.6593357,-1.8503784,0.13504185,-0.28534102,0.15934123,0.06790703,-0.5480801
71,-0.6564481,-0.14950138,-0.8688667,-0.47583202,-0.021067712,0.17465355,0.03089435,0.4456448,0.09184976,0.2741741
72,-0.68896073,-0.12650515,0.2832862,-0.2715336,0.4670392,-0.11262506,-0.9711218,0.53564304,0.34492466,0.3848729
73,0.4438271,-0.22367378,-1.1944063,-0.9923867,-0.14165343,-1.7570664,-0.07176391,0.4001935,-0.19531989,-0.42114937
74,-1.1662617,-0.2123525,-0.43431947,-0.44366282,-0.48088095,-0.7994841,-0.8181124,0.20370825,-0.8698335,-0.13362986
75,-0.458777,-0.029556582,0.25450882,0.53693694,0.19596043,0.2444941,0.053963657,-1.4017028,0.34583524,0.10438897
76,1.0406543,0.05578722,-1.0409722,1.2081642,-1.2613319,0.075402856,0.028996235,0.5926375,0.09378596,0.052169926
77,0.5280679,0.7401655,0.3729908,-0.25051418,0.9447717,-0.75324315,0.014759626,0.510875,0.35611275,0.38054496
78,-1.3229895,-0.02210966,0.27413625,-0.25739223,0.19232231,-1.3833046,0.014384089,-0.14717592,0.33654106,0.16098782
79,0.737428,-0.29540595,0.47000042,0.9763272,-0.016407339,0.07066295,0.29581466,0.3093208,-0.033901762,0.33152977
80,-1.997779,-1.331149,0.12734456,-0.5563108,0.15934233,0.012268124,0.019415105,-1.7929908,0.1266175,0.07958211
81,-0.82149637,-0.075418144,-0.16702692,-0.686351,-0.7707554,0.26529902,0.12276068,-0.88309276,-0.114963464,-1.0237054
82,-1.700976,0.18434171,-0.045915276,-0.47227892,0.5529591,-0.6932329,0.13290633,0.2084856,-0.44771433,0.12671918
83,-0.3783698,-0.12365143,0.3818261,-0.629471,1.1514871,0.16846406,0.38425007,-0.44004926,0.15354523,0.17756401
